file_name,class,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density,laplacian_var,mean_r,mean_g,mean_b,main_class,resolution,class_label,error
s1_10.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,247.327,31.856,-4.21,16.492,0.701,0.027,1372.348,247.46,247.35,246.73,,,,
s1_13.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,249.963,26.372,-5.751,33.207,0.593,0.035,1760.52,250.1,249.97,249.36,,,,
s1_3.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,249.571,27.445,-5.525,30.516,0.6,0.034,1612.06,249.65,249.61,249.07,,,,
s1_5.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,252.164,19.63,-7.752,61.876,0.392,0.019,986.483,252.24,252.18,251.76,,,,
s1_6.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,253.284,15.161,-10.03,105.026,0.266,0.012,641.618,253.33,253.3,253.03,,,,
s1_7.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,251.809,20.841,-7.235,53.36,0.427,0.022,1292.916,251.9,251.83,251.37,,,,
s1_9.tif,Canon120-1,1240.0,1752.0,0.708,6366.8,248.617,29.683,-5.035,24.983,0.66,0.038,1881.443,248.8,248.62,248.06,,,,
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_41.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_51.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_52.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_53.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_55.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_56.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_57.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_58.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_59.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_60.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
C:\Users\Asmita Pathak\OneDrive\Desktop\feature_extractor\AI_TraceFinder\dataset\Official\Canon120-1\300\s1_61.tif,,,,,,,,,,,,,,,,Canon120-1,300,Canon120-1_300,"Unable to allocate 66.4 MiB for an array with shape (8699840,) and data type float64"
